employee_id,shift_id,preference_score
E001,S0065,-1
E001,S0004,1
E001,S0001,-1
E003,S0010,1
E003,S0061,1
E003,S0056,-1
E004,S0073,-1
E004,S0047,1
E004,S0077,1
E005,S0052,-1
E010,S0072,1
E012,S0060,1
E018,S0009,-1
E018,S0033,1
E018,S0075,1
E020,S0025,-1
E020,S0030,-1
E024,S0020,-1
E024,S0032,1
E027,S0052,1
E027,S0039,1
E027,S0014,-1
E030,S0067,1
E032,S0044,-1
E032,S0042,1
E036,S0085,-1
E036,S0064,-1
E037,S0080,1
E037,S0041,-1
E037,S0001,-1
E038,S0030,-1
E038,S0057,1
E039,S0030,-1
E039,S0044,1
E040,S0065,-1
E046,S0050,1
E049,S0012,-1
E049,S0045,-1
E050,S0073,1
E050,S0083,1
E050,S0008,1
