shift_id,name,date,start_time,end_time,department
S0001,Gündüz Hafta İçi Acil,2025-05-14,08:00:00,16:00:00,Acil
S0002,Gündüz Hafta İçi Kardiyoloji,2025-05-14,08:00:00,16:00:00,Kardiyoloji
S0003,Gündüz Hafta İçi Cerrahi,2025-05-14,08:00:00,16:00:00,Cerrahi
S0004,Gündüz Hafta İçi Pediatri,2025-05-14,08:00:00,16:00:00,Pediatri
S0005,Gündüz Hafta İçi Yoğun Bakım,2025-05-14,08:00:00,16:00:00,Yoğun Bakım
S0006,Gündüz Hafta İçi Radyoloji,2025-05-14,08:00:00,16:00:00,Radyoloji
S0007,Gündüz Hafta İçi Laboratuvar,2025-05-14,08:00:00,16:00:00,Laboratuvar
S0008,Gündüz Hafta İçi İdari,2025-05-14,08:00:00,16:00:00,İdari
S0009,Gündüz Hafta İçi Acil,2025-05-15,08:00:00,16:00:00,Acil
S0010,Gündüz Hafta İçi Kardiyoloji,2025-05-15,08:00:00,16:00:00,Kardiyoloji
S0011,Gündüz Hafta İçi Cerrahi,2025-05-15,08:00:00,16:00:00,Cerrahi
S0012,Gündüz Hafta İçi Pediatri,2025-05-15,08:00:00,16:00:00,Pediatri
S0013,Gündüz Hafta İçi Yoğun Bakım,2025-05-15,08:00:00,16:00:00,Yoğun Bakım
S0014,Gündüz Hafta İçi Radyoloji,2025-05-15,08:00:00,16:00:00,Radyoloji
S0015,Gündüz Hafta İçi Laboratuvar,2025-05-15,08:00:00,16:00:00,Laboratuvar
S0016,Gündüz Hafta İçi İdari,2025-05-15,08:00:00,16:00:00,İdari
S0017,Gündüz Hafta İçi Acil,2025-05-16,08:00:00,16:00:00,Acil
S0018,Gündüz Hafta İçi Kardiyoloji,2025-05-16,08:00:00,16:00:00,Kardiyoloji
S0019,Gündüz Hafta İçi Cerrahi,2025-05-16,08:00:00,16:00:00,Cerrahi
S0020,Gündüz Hafta İçi Pediatri,2025-05-16,08:00:00,16:00:00,Pediatri
S0021,Gündüz Hafta İçi Yoğun Bakım,2025-05-16,08:00:00,16:00:00,Yoğun Bakım
S0022,Gündüz Hafta İçi Radyoloji,2025-05-16,08:00:00,16:00:00,Radyoloji
S0023,Gündüz Hafta İçi Laboratuvar,2025-05-16,08:00:00,16:00:00,Laboratuvar
S0024,Gündüz Hafta İçi İdari,2025-05-16,08:00:00,16:00:00,İdari
S0025,Gündüz Hafta İçi Acil,2025-05-19,08:00:00,16:00:00,Acil
S0026,Gündüz Hafta İçi Kardiyoloji,2025-05-19,08:00:00,16:00:00,Kardiyoloji
S0027,Gündüz Hafta İçi Cerrahi,2025-05-19,08:00:00,16:00:00,Cerrahi
S0028,Gündüz Hafta İçi Pediatri,2025-05-19,08:00:00,16:00:00,Pediatri
S0029,Gündüz Hafta İçi Yoğun Bakım,2025-05-19,08:00:00,16:00:00,Yoğun Bakım
S0030,Gündüz Hafta İçi Radyoloji,2025-05-19,08:00:00,16:00:00,Radyoloji
S0031,Gündüz Hafta İçi Laboratuvar,2025-05-19,08:00:00,16:00:00,Laboratuvar
S0032,Gündüz Hafta İçi İdari,2025-05-19,08:00:00,16:00:00,İdari
S0033,Gündüz Hafta İçi Acil,2025-05-20,08:00:00,16:00:00,Acil
S0034,Gündüz Hafta İçi Kardiyoloji,2025-05-20,08:00:00,16:00:00,Kardiyoloji
S0035,Gündüz Hafta İçi Cerrahi,2025-05-20,08:00:00,16:00:00,Cerrahi
S0036,Gündüz Hafta İçi Pediatri,2025-05-20,08:00:00,16:00:00,Pediatri
S0037,Gündüz Hafta İçi Yoğun Bakım,2025-05-20,08:00:00,16:00:00,Yoğun Bakım
S0038,Gündüz Hafta İçi Radyoloji,2025-05-20,08:00:00,16:00:00,Radyoloji
S0039,Gündüz Hafta İçi Laboratuvar,2025-05-20,08:00:00,16:00:00,Laboratuvar
S0040,Gündüz Hafta İçi İdari,2025-05-20,08:00:00,16:00:00,İdari
S0041,Akşam Hafta İçi Acil,2025-05-14,16:00:00,00:00:00,Acil
S0042,Akşam Hafta İçi Kardiyoloji,2025-05-14,16:00:00,00:00:00,Kardiyoloji
S0043,Akşam Hafta İçi Cerrahi,2025-05-14,16:00:00,00:00:00,Cerrahi
S0044,Akşam Hafta İçi Pediatri,2025-05-14,16:00:00,00:00:00,Pediatri
S0045,Akşam Hafta İçi Yoğun Bakım,2025-05-14,16:00:00,00:00:00,Yoğun Bakım
S0046,Akşam Hafta İçi Acil,2025-05-15,16:00:00,00:00:00,Acil
S0047,Akşam Hafta İçi Kardiyoloji,2025-05-15,16:00:00,00:00:00,Kardiyoloji
