employee_id,skill
E001,Teşhis ve Tedavi
E001,İlk Yardım Sertifikası
E001,Reçete Yazma
E001,Acil Tıp
E001,Acil Servis Deneyimi
E001,Ultrasonografi Yetkinliği
E002,Temel Hasta Bakımı
E002,İlk Yardım Sertifikası
E002,İlaç Yönetimi
E002,Acil Servis Deneyimi
E003,Teşhis ve Tedavi
E003,İlk Yardım Sertifikası
E003,Reçete Yazma
E003,Kardiyoloji
E003,Ultrasonografi Yetkinliği
E004,Temel Hasta Bakımı
E004,İlk Yardım Sertifikası
E004,İlaç Yönetimi
E004,Onkoloji Hemşireliği
E005,Teşhis ve Tedavi
E005,İlk Yardım Sertifikası
E005,Reçete Yazma
E005,Genel Cerrahi
E005,Endoskopi Yetkinliği
E006,Temel Hasta Bakımı
E006,İlk Yardım Sertifikası
E006,İlaç Yönetimi
E006,Onkoloji Hemşireliği
E006,Kan Alma Yetkinliği
E007,Teşhis ve Tedavi
E007,İlk Yardım Sertifikası
E007,Reçete Yazma
E007,Pediatri
E007,Acil Servis Deneyimi
E008,Temel Hasta Bakımı
E008,İlk Yardım Sertifikası
E008,İlaç Yönetimi
E008,Pediatri Yetkinliği
E008,Diyabet Hemşireliği
E008,Onkoloji Hemşireliği
E009,Teşhis ve Tedavi
E009,İlk Yardım Sertifikası
E009,Reçete Yazma
E009,Anesteziyoloji
E009,Yoğun Bakım Sertifikası
E009,Acil Servis Deneyimi
E010,Temel Hasta Bakımı
E010,İlk Yardım Sertifikası
E010,İlaç Yönetimi
E010,Yoğun Bakım Sertifikası
E010,Onkoloji Hemşireliği
E011,Ekipman Kullanımı
E011,Temel İlk Yardım
E011,EKG Çekme
E012,Ekipman Kullanımı
E012,Temel İlk Yardım
E013,Ofis Yönetimi
E013,Temel Bilgisayar Kullanımı
E013,Randevu Planlama
E014,Temel Hasta Bakımı
E014,İlk Yardım Sertifikası
E014,İlaç Yönetimi
E014,Acil Servis Deneyimi
E015,Ekipman Kullanımı
E015,Temel İlk Yardım
E016,Teşhis ve Tedavi
E016,İlk Yardım Sertifikası
E016,Reçete Yazma
E016,Genel Cerrahi
E016,Ultrasonografi Yetkinliği
E017,Temel Hasta Bakımı
E017,İlk Yardım Sertifikası
E017,İlaç Yönetimi
E017,Yoğun Bakım Sertifikası
