employee_id,date,is_available
CM_E002,2025-05-07,1
CM_E002,2025-05-08,1
CM_E002,2025-05-09,0
CM_E002,2025-05-10,1
CM_E002,2025-05-11,0
CM_E002,2025-05-12,1
CM_E002,2025-05-13,1
CM_E016,2025-05-07,1
CM_E016,2025-05-08,1
CM_E016,2025-05-09,1
CM_E016,2025-05-10,1
CM_E016,2025-05-11,1
CM_E016,2025-05-12,0
CM_E016,2025-05-13,1
CM_E017,2025-05-07,0
CM_E017,2025-05-08,1
CM_E017,2025-05-09,1
CM_E017,2025-05-10,1
CM_E017,2025-05-11,1
CM_E017,2025-05-12,1
CM_E017,2025-05-13,1
CM_E023,2025-05-07,0
CM_E023,2025-05-08,1
CM_E023,2025-05-09,1
CM_E023,2025-05-10,1
CM_E023,2025-05-11,1
CM_E023,2025-05-12,1
CM_E023,2025-05-13,1
CM_E024,2025-05-07,1
CM_E024,2025-05-08,1
CM_E024,2025-05-09,0
CM_E024,2025-05-10,1
CM_E024,2025-05-11,1
CM_E024,2025-05-12,1
CM_E024,2025-05-13,1
CM_E026,2025-05-07,1
CM_E026,2025-05-08,0
CM_E026,2025-05-09,1
CM_E026,2025-05-10,1
CM_E026,2025-05-11,1
CM_E026,2025-05-12,1
CM_E026,2025-05-13,1
CM_E027,2025-05-07,1
CM_E027,2025-05-08,1
CM_E027,2025-05-09,1
CM_E027,2025-05-10,1
CM_E027,2025-05-11,0
CM_E027,2025-05-12,1
CM_E027,2025-05-13,1
CM_E041,2025-05-07,1
CM_E041,2025-05-08,1
CM_E041,2025-05-09,1
CM_E041,2025-05-10,0
CM_E041,2025-05-11,1
CM_E041,2025-05-12,1
CM_E041,2025-05-13,1
CM_E056,2025-05-07,1
CM_E056,2025-05-08,0
CM_E056,2025-05-09,1
CM_E056,2025-05-10,1
CM_E056,2025-05-11,1
CM_E056,2025-05-12,1
CM_E056,2025-05-13,1
CM_E058,2025-05-07,1
CM_E058,2025-05-08,0
CM_E058,2025-05-09,1
CM_E058,2025-05-10,1
CM_E058,2025-05-11,1
CM_E058,2025-05-12,1
CM_E058,2025-05-13,1
CM_E060,2025-05-07,0
CM_E060,2025-05-08,1
CM_E060,2025-05-09,1
CM_E060,2025-05-10,1
CM_E060,2025-05-11,1
CM_E060,2025-05-12,1
CM_E060,2025-05-13,1
CM_E061,2025-05-07,1
CM_E061,2025-05-08,0
CM_E061,2025-05-09,1
CM_E061,2025-05-10,1
CM_E061,2025-05-11,1
CM_E061,2025-05-12,1
CM_E061,2025-05-13,1
CM_E072,2025-05-07,1
CM_E072,2025-05-08,1
CM_E072,2025-05-09,1
CM_E072,2025-05-10,0
CM_E072,2025-05-11,1
CM_E072,2025-05-12,1
CM_E072,2025-05-13,1
CM_E074,2025-05-07,1
CM_E074,2025-05-08,1
CM_E074,2025-05-09,1
CM_E074,2025-05-10,1
CM_E074,2025-05-11,0
CM_E074,2025-05-12,1
CM_E074,2025-05-13,1
CM_E005,2025-05-07,1
CM_E005,2025-05-08,0
CM_E005,2025-05-09,1
CM_E005,2025-05-10,1
CM_E005,2025-05-11,1
CM_E005,2025-05-12,1
CM_E005,2025-05-13,1
CM_E009,2025-05-07,1
CM_E009,2025-05-08,0
CM_E009,2025-05-09,1
CM_E009,2025-05-10,1
CM_E009,2025-05-11,1
CM_E009,2025-05-12,1
CM_E009,2025-05-13,1
CM_E014,2025-05-07,1
CM_E014,2025-05-08,1
CM_E014,2025-05-09,0
CM_E014,2025-05-10,1
CM_E014,2025-05-11,1
CM_E014,2025-05-12,1
CM_E014,2025-05-13,1
CM_E028,2025-05-07,0
CM_E028,2025-05-08,1
CM_E028,2025-05-09,1
CM_E028,2025-05-10,1
CM_E028,2025-05-11,1
CM_E028,2025-05-12,1
CM_E028,2025-05-13,1
CM_E033,2025-05-07,1
CM_E033,2025-05-08,0
CM_E033,2025-05-09,1
CM_E033,2025-05-10,1
CM_E033,2025-05-11,1
CM_E033,2025-05-12,1
CM_E033,2025-05-13,1
CM_E035,2025-05-07,1
CM_E035,2025-05-08,0
CM_E035,2025-05-09,1
CM_E035,2025-05-10,1
CM_E035,2025-05-11,1
CM_E035,2025-05-12,1
CM_E035,2025-05-13,1
CM_E046,2025-05-07,1
CM_E046,2025-05-08,1
CM_E046,2025-05-09,1
CM_E046,2025-05-10,1
CM_E046,2025-05-11,1
CM_E046,2025-05-12,0
CM_E046,2025-05-13,1
CM_E053,2025-05-07,1
CM_E053,2025-05-08,1
CM_E053,2025-05-09,1
CM_E053,2025-05-10,0
CM_E053,2025-05-11,1
CM_E053,2025-05-12,1
CM_E053,2025-05-13,1
CM_E068,2025-05-07,1
CM_E068,2025-05-08,1
CM_E068,2025-05-09,1
CM_E068,2025-05-10,1
CM_E068,2025-05-11,1
CM_E068,2025-05-12,1
CM_E068,2025-05-13,0
CM_E069,2025-05-07,1
CM_E069,2025-05-08,1
CM_E069,2025-05-09,0
CM_E069,2025-05-10,1
CM_E069,2025-05-11,1
CM_E069,2025-05-12,1
CM_E069,2025-05-13,1
CM_E070,2025-05-07,0
CM_E070,2025-05-08,1
CM_E070,2025-05-09,1
CM_E070,2025-05-10,1
CM_E070,2025-05-11,1
CM_E070,2025-05-12,1
CM_E070,2025-05-13,1
CM_E004,2025-05-07,0
CM_E004,2025-05-08,1
CM_E004,2025-05-09,0
CM_E004,2025-05-10,1
CM_E004,2025-05-11,1
CM_E004,2025-05-12,1
CM_E004,2025-05-13,1
CM_E013,2025-05-07,1
CM_E013,2025-05-08,1
CM_E013,2025-05-09,1
CM_E013,2025-05-10,0
CM_E013,2025-05-11,1
CM_E013,2025-05-12,1
CM_E013,2025-05-13,1
CM_E021,2025-05-07,1
CM_E021,2025-05-08,0
CM_E021,2025-05-09,1
CM_E021,2025-05-10,1
CM_E021,2025-05-11,1
CM_E021,2025-05-12,1
CM_E021,2025-05-13,1
CM_E022,2025-05-07,0
CM_E022,2025-05-08,1
CM_E022,2025-05-09,1
CM_E022,2025-05-10,1
CM_E022,2025-05-11,1
CM_E022,2025-05-12,1
CM_E022,2025-05-13,1
CM_E025,2025-05-07,1
CM_E025,2025-05-08,1
CM_E025,2025-05-09,1
CM_E025,2025-05-10,1
CM_E025,2025-05-11,1
CM_E025,2025-05-12,1
CM_E025,2025-05-13,1
CM_E032,2025-05-07,1
CM_E032,2025-05-08,1
CM_E032,2025-05-09,0
CM_E032,2025-05-10,1
CM_E032,2025-05-11,1
CM_E032,2025-05-12,1
CM_E032,2025-05-13,1
CM_E039,2025-05-07,1
CM_E039,2025-05-08,0
CM_E039,2025-05-09,1
CM_E039,2025-05-10,1
CM_E039,2025-05-11,1
CM_E039,2025-05-12,1
CM_E039,2025-05-13,1
CM_E042,2025-05-07,0
CM_E042,2025-05-08,1
CM_E042,2025-05-09,1
CM_E042,2025-05-10,1
CM_E042,2025-05-11,1
CM_E042,2025-05-12,1
CM_E042,2025-05-13,1
CM_E050,2025-05-07,1
CM_E050,2025-05-08,1
CM_E050,2025-05-09,0
