employee_id,shift_id,preference_score
CM_E002,CM_S0091,1
CM_E009,CM_S0114,1
CM_E014,CM_S0061,1
CM_E014,CM_S0023,-1
CM_E014,CM_S0066,1
CM_E018,CM_S0087,1
CM_E021,CM_S0033,1
CM_E021,CM_S0118,1
CM_E030,CM_S0044,1
CM_E033,CM_S0116,1
CM_E034,CM_S0121,1
CM_E034,CM_S0061,-1
CM_E034,CM_S0119,1
CM_E035,CM_S0096,1
CM_E035,CM_S0122,-1
CM_E036,CM_S0091,-1
CM_E042,CM_S0049,-1
CM_E042,CM_S0044,-1
CM_E043,CM_S0019,-1
CM_E043,CM_S0094,-1
CM_E048,CM_S0049,-1
CM_E048,CM_S0103,-1
CM_E053,CM_S0081,1
CM_E054,CM_S0017,1
CM_E054,CM_S0012,1
CM_E057,CM_S0085,-1
CM_E057,CM_S0097,-1
CM_E058,CM_S0081,-1
CM_E059,CM_S0029,1
CM_E067,CM_S0077,-1
CM_E067,CM_S0012,-1
CM_E067,CM_S0112,1
CM_E069,CM_S0063,-1
CM_E076,CM_S0048,-1
CM_E076,CM_S0117,1
CM_E076,CM_S0019,-1
CM_E077,CM_S0124,-1
CM_E077,CM_S0057,1
CM_E080,CM_S0100,1
