shift_id,name,date,start_time,end_time,department
CM_S0001,Sabah Hafta İçi Genel Çağrı,2025-05-07,08:00:00,15:00:00,Genel Çağrı
CM_S0002,Sabah Hafta İçi Polis Yönlendirme,2025-05-07,08:00:00,15:00:00,Polis Yönlendirme
CM_S0003,Sabah Hafta İçi Sağlık Yönlendirme,2025-05-07,08:00:00,15:00:00,Sağlık Yönlendirme
CM_S0004,Sabah Hafta İçi İtfaiye Yönlendirme,2025-05-07,08:00:00,15:00:00,İtfaiye Yönlendirme
CM_S0005,Sabah Hafta İçi Teknik Operasyonlar,2025-05-07,08:00:00,15:00:00,Teknik Operasyonlar
CM_S0006,Sabah Hafta İçi Yönetim,2025-05-07,08:00:00,15:00:00,Yönetim
CM_S0007,Sabah Hafta İçi Genel Çağrı,2025-05-08,08:00:00,15:00:00,Genel Çağrı
CM_S0008,Sabah Hafta İçi Polis Yönlendirme,2025-05-08,08:00:00,15:00:00,Polis Yönlendirme
CM_S0009,Sabah Hafta İçi Sağlık Yönlendirme,2025-05-08,08:00:00,15:00:00,Sağlık Yönlendirme
CM_S0010,Sabah Hafta İçi İtfaiye Yönlendirme,2025-05-08,08:00:00,15:00:00,İtfaiye Yönlendirme
CM_S0011,Sabah Hafta İçi Teknik Operasyonlar,2025-05-08,08:00:00,15:00:00,Teknik Operasyonlar
CM_S0012,Sabah Hafta İçi Yönetim,2025-05-08,08:00:00,15:00:00,Yönetim
CM_S0013,Sabah Hafta İçi Genel Çağrı,2025-05-09,08:00:00,15:00:00,Genel Çağrı
CM_S0014,Sabah Hafta İçi Polis Yönlendirme,2025-05-09,08:00:00,15:00:00,Polis Yönlendirme
CM_S0015,Sabah Hafta İçi Sağlık Yönlendirme,2025-05-09,08:00:00,15:00:00,Sağlık Yönlendirme
CM_S0016,Sabah Hafta İçi İtfaiye Yönlendirme,2025-05-09,08:00:00,15:00:00,İtfaiye Yönlendirme
CM_S0017,Sabah Hafta İçi Teknik Operasyonlar,2025-05-09,08:00:00,15:00:00,Teknik Operasyonlar
CM_S0018,Sabah Hafta İçi Yönetim,2025-05-09,08:00:00,15:00:00,Yönetim
CM_S0019,Sabah Hafta İçi Genel Çağrı,2025-05-12,08:00:00,15:00:00,Genel Çağrı
CM_S0020,Sabah Hafta İçi Polis Yönlendirme,2025-05-12,08:00:00,15:00:00,Polis Yönlendirme
CM_S0021,Sabah Hafta İçi Sağlık Yönlendirme,2025-05-12,08:00:00,15:00:00,Sağlık Yönlendirme
CM_S0022,Sabah Hafta İçi İtfaiye Yönlendirme,2025-05-12,08:00:00,15:00:00,İtfaiye Yönlendirme
CM_S0023,Sabah Hafta İçi Teknik Operasyonlar,2025-05-12,08:00:00,15:00:00,Teknik Operasyonlar
CM_S0024,Sabah Hafta İçi Yönetim,2025-05-12,08:00:00,15:00:00,Yönetim
CM_S0025,Sabah Hafta İçi Genel Çağrı,2025-05-13,08:00:00,15:00:00,Genel Çağrı
CM_S0026,Sabah Hafta İçi Polis Yönlendirme,2025-05-13,08:00:00,15:00:00,Polis Yönlendirme
CM_S0027,Sabah Hafta İçi Sağlık Yönlendirme,2025-05-13,08:00:00,15:00:00,Sağlık Yönlendirme
CM_S0028,Sabah Hafta İçi İtfaiye Yönlendirme,2025-05-13,08:00:00,15:00:00,İtfaiye Yönlendirme
CM_S0029,Sabah Hafta İçi Teknik Operasyonlar,2025-05-13,08:00:00,15:00:00,Teknik Operasyonlar
CM_S0030,Sabah Hafta İçi Yönetim,2025-05-13,08:00:00,15:00:00,Yönetim
CM_S0031,Akşam Hafta İçi Genel Çağrı,2025-05-07,16:00:00,23:00:00,Genel Çağrı
CM_S0032,Akşam Hafta İçi Polis Yönlendirme,2025-05-07,16:00:00,23:00:00,Polis Yönlendirme
CM_S0033,Akşam Hafta İçi Sağlık Yönlendirme,2025-05-07,16:00:00,23:00:00,Sağlık Yönlendirme
CM_S0034,Akşam Hafta İçi İtfaiye Yönlendirme,2025-05-07,16:00:00,23:00:00,İtfaiye Yönlendirme
CM_S0035,Akşam Hafta İçi Teknik Operasyonlar,2025-05-07,16:00:00,23:00:00,Teknik Operasyonlar
CM_S0036,Akşam Hafta İçi Yönetim,2025-05-07,16:00:00,23:00:00,Yönetim
CM_S0037,Akşam Hafta İçi Genel Çağrı,2025-05-08,16:00:00,23:00:00,Genel Çağrı
CM_S0038,Akşam Hafta İçi Polis Yönlendirme,2025-05-08,16:00:00,23:00:00,Polis Yönlendirme
CM_S0039,Akşam Hafta İçi Sağlık Yönlendirme,2025-05-08,16:00:00,23:00:00,Sağlık Yönlendirme
CM_S0040,Akşam Hafta İçi İtfaiye Yönlendirme,2025-05-08,16:00:00,23:00:00,İtfaiye Yönlendirme
CM_S0041,Akşam Hafta İçi Teknik Operasyonlar,2025-05-08,16:00:00,23:00:00,Teknik Operasyonlar
CM_S0042,Akşam Hafta İçi Yönetim,2025-05-08,16:00:00,23:00:00,Yönetim
CM_S0043,Akşam Hafta İçi Genel Çağrı,2025-05-09,16:00:00,23:00:00,Genel Çağrı
CM_S0044,Akşam Hafta İçi Polis Yönlendirme,2025-05-09,16:00:00,23:00:00,Polis Yönlendirme
CM_S0045,Akşam Hafta İçi Sağlık Yönlendirme,2025-05-09,16:00:00,23:00:00,Sağlık Yönlendirme
CM_S0046,Akşam Hafta İçi İtfaiye Yönlendirme,2025-05-09,16:00:00,23:00:00,İtfaiye Yönlendirme
CM_S0047,Akşam Hafta İçi Teknik Operasyonlar,2025-05-09,16:00:00,23:00:00,Teknik Operasyonlar
CM_S0048,Akşam Hafta İçi Yönetim,2025-05-09,16:00:00,23:00:00,Yönetim
CM_S0049,Akşam Hafta İçi Genel Çağrı,2025-05-12,16:00:00,23:00:00,Genel Çağrı
CM_S0050,Akşam Hafta İçi Polis Yönlendirme,2025-05-12,16:00:00,23:00:00,Polis Yönlendirme
CM_S0051,Akşam Hafta İçi Sağlık Yönlendirme,2025-05-12,16:00:00,23:00:00,Sağlık Yönlendirme
CM_S0052,Akşam Hafta İçi İtfaiye Yönlendirme,2025-05-12,16:00:00,23:00:00,İtfaiye Yönlendirme
CM_S0053,Akşam Hafta İçi Teknik Operasyonlar,2025-05-12,16:00:00,23:00:00,Teknik Operasyonlar
CM_S0054,Akşam Hafta İçi Yönetim,2025-05-12,16:00:00,23:00:00,Yönetim
CM_S0055,Akşam Hafta İçi Genel Çağrı,2025-05-13,16:00:00,23:00:00,Genel Çağrı
CM_S0056,Akşam Hafta İçi Polis Yönlendirme,2025-05-13,16:00:00,23:00:00,Polis Yönlendirme
CM_S0057,Akşam Hafta İçi Sağlık Yönlendirme,2025-05-13,16:00:00,23:00:00,Sağlık Yönlendirme
CM_S0058,Akşam Hafta İçi İtfaiye Yönlendirme,2025-05-13,16:00:00,23:00:00,İtfaiye Yönlendirme
CM_S0059,Akşam Hafta İçi Teknik Operasyonlar,2025-05-13,16:00:00,23:00:00,Teknik Operasyonlar
CM_S0060,Akşam Hafta İçi Yönetim,2025-05-13,16:00:00,23:00:00,Yönetim
CM_S0061,Gece Genel Çağrı,2025-05-07,00:00:00,08:00:00,Genel Çağrı
CM_S0062,Gece Polis Yönlendirme,2025-05-07,00:00:00,08:00:00,Polis Yönlendirme
CM_S0063,Gece Sağlık Yönlendirme,2025-05-07,00:00:00,08:00:00,Sağlık Yönlendirme
CM_S0064,Gece İtfaiye Yönlendirme,2025-05-07,00:00:00,08:00:00,İtfaiye Yönlendirme
CM_S0065,Gece Teknik Operasyonlar,2025-05-07,00:00:00,08:00:00,Teknik Operasyonlar
CM_S0066,Gece Yönetim,2025-05-07,00:00:00,08:00:00,Yönetim
CM_S0067,Gece Genel Çağrı,2025-05-08,00:00:00,08:00:00,Genel Çağrı
CM_S0068,Gece Polis Yönlendirme,2025-05-08,00:00:00,08:00:00,Polis Yönlendirme
CM_S0069,Gece Sağlık Yönlendirme,2025-05-08,00:00:00,08:00:00,Sağlık Yönlendirme
CM_S0070,Gece İtfaiye Yönlendirme,2025-05-08,00:00:00,08:00:00,İtfaiye Yönlendirme
CM_S0071,Gece Teknik Operasyonlar,2025-05-08,00:00:00,08:00:00,Teknik Operasyonlar
CM_S0072,Gece Yönetim,2025-05-08,00:00:00,08:00:00,Yönetim
CM_S0073,Gece Genel Çağrı,2025-05-09,00:00:00,08:00:00,Genel Çağrı
CM_S0074,Gece Polis Yönlendirme,2025-05-09,00:00:00,08:00:00,Polis Yönlendirme
CM_S0075,Gece Sağlık Yönlendirme,2025-05-09,00:00:00,08:00:00,Sağlık Yönlendirme
CM_S0076,Gece İtfaiye Yönlendirme,2025-05-09,00:00:00,08:00:00,İtfaiye Yönlendirme
CM_S0077,Gece Teknik Operasyonlar,2025-05-09,00:00:00,08:00:00,Teknik Operasyonlar
CM_S0078,Gece Yönetim,2025-05-09,00:00:00,08:00:00,Yönetim
CM_S0079,Gece Genel Çağrı,2025-05-10,00:00:00,08:00:00,Genel Çağrı
CM_S0080,Gece Polis Yönlendirme,2025-05-10,00:00:00,08:00:00,Polis Yönlendirme
CM_S0081,Gece Sağlık Yönlendirme,2025-05-10,00:00:00,08:00:00,Sağlık Yönlendirme
CM_S0082,Gece İtfaiye Yönlendirme,2025-05-10,00:00:00,08:00:00,İtfaiye Yönlendirme
CM_S0083,Gece Teknik Operasyonlar,2025-05-10,00:00:00,08:00:00,Teknik Operasyonlar
CM_S0084,Gece Yönetim,2025-05-10,00:00:00,08:00:00,Yönetim
CM_S0085,Gece Genel Çağrı,2025-05-11,00:00:00,08:00:00,Genel Çağrı
CM_S0086,Gece Polis Yönlendirme,2025-05-11,00:00:00,08:00:00,Polis Yönlendirme
CM_S0087,Gece Sağlık Yönlendirme,2025-05-11,00:00:00,08:00:00,Sağlık Yönlendirme
CM_S0088,Gece İtfaiye Yönlendirme,2025-05-11,00:00:00,08:00:00,İtfaiye Yönlendirme
CM_S0089,Gece Teknik Operasyonlar,2025-05-11,00:00:00,08:00:00,Teknik Operasyonlar
CM_S0090,Gece Yönetim,2025-05-11,00:00:00,08:00:00,Yönetim
CM_S0091,Gece Genel Çağrı,2025-05-12,00:00:00,08:00:00,Genel Çağrı
CM_S0092,Gece Polis Yönlendirme,2025-05-12,00:00:00,08:00:00,Polis Yönlendirme
CM_S0093,Gece Sağlık Yönlendirme,2025-05-12,00:00:00,08:00:00,Sağlık Yönlendirme
CM_S0094,Gece İtfaiye Yönlendirme,2025-05-12,00:00:00,08:00:00,İtfaiye Yönlendirme
CM_S0095,Gece Teknik Operasyonlar,2025-05-12,00:00:00,08:00:00,Teknik Operasyonlar
CM_S0096,Gece Yönetim,2025-05-12,00:00:00,08:00:00,Yönetim
CM_S0097,Gece Genel Çağrı,2025-05-13,00:00:00,08:00:00,Genel Çağrı
CM_S0098,Gece Polis Yönlendirme,2025-05-13,00:00:00,08:00:00,Polis Yönlendirme
CM_S0099,Gece Sağlık Yönlendirme,2025-05-13,00:00:00,08:00:00,Sağlık Yönlendirme
CM_S0100,Gece İtfaiye Yönlendirme,2025-05-13,00:00:00,08:00:00,İtfaiye Yönlendirme
CM_S0101,Gece Teknik Operasyonlar,2025-05-13,00:00:00,08:00:00,Teknik Operasyonlar
CM_S0102,Gece Yönetim,2025-05-13,00:00:00,08:00:00,Yönetim
CM_S0103,Gündüz Hafta Sonu Genel Çağrı,2025-05-10,08:00:00,19:00:00,Genel Çağrı
CM_S0104,Gündüz Hafta Sonu Polis Yönlendirme,2025-05-10,08:00:00,19:00:00,Polis Yönlendirme
