employee_id,skill
CM_E001,Hızlı Klavye Kullanımı
CM_E001,Etkili İletişim
CM_E001,Problem Çözme
CM_E001,Yabancı Dil (Almanca)
CM_E002,Hızlı Klavye Kullanımı
CM_E002,Etkili İletişim
CM_E002,Problem Çözme
CM_E002,Kriz Yönetimi Temel Bilgisi
CM_E002,Yabancı Dil (İngilizce)
CM_E003,Liderlik ve Motivasyon
CM_E003,Operasyonel Planlama
CM_E003,Raporlama Teknikleri
CM_E003,Liderlik ve Koordinasyon
CM_E003,Üst Düzey Kriz Yönetimi
CM_E003,Ekip Yönetimi Yazılımları
CM_E004,Liderlik ve Motivasyon
CM_E004,Operasyonel Planlama
CM_E004,Raporlama Teknikleri
CM_E004,Liderlik ve Koordinasyon
CM_E004,Ekip Yönetimi Yazılımları
CM_E005,Hızlı Klavye Kullanımı
CM_E005,Etkili İletişim
CM_E005,Problem Çözme
CM_E005,Coğrafi Bilgi Sistemleri Kullanımı
CM_E005,Kriz Yönetimi Temel Bilgisi
CM_E006,Hızlı Klavye Kullanımı
CM_E006,Etkili İletişim
CM_E006,Problem Çözme
CM_E006,Stres Yönetimi Teknikleri
CM_E006,İleri Düzey Stres Yönetimi
CM_E006,Kriz Yönetimi Temel Bilgisi
CM_E007,Hızlı Klavye Kullanımı
CM_E007,Etkili İletişim
CM_E007,Problem Çözme
CM_E007,Yabancı Dil (İngilizce)
CM_E007,Yabancı Dil (Almanca)
CM_E008,Liderlik ve Motivasyon
CM_E008,Operasyonel Planlama
CM_E008,Raporlama Teknikleri
CM_E008,Liderlik ve Koordinasyon
CM_E008,Ekip Yönetimi Yazılımları
CM_E008,Üst Düzey Kriz Yönetimi
CM_E008,Performans Değerlendirme
CM_E009,Hızlı Klavye Kullanımı
CM_E009,Etkili İletişim
CM_E009,Problem Çözme
CM_E009,Yabancı Dil (Almanca)
CM_E010,Sistem Arıza Tespiti
CM_E010,Ağ Temelleri
CM_E010,Yazılım Güncelleme
CM_E010,Veritabanı Yönetimi (Temel)
CM_E010,Siber Güvenlik Farkındalığı
CM_E011,Hızlı Klavye Kullanımı
CM_E011,Etkili İletişim
CM_E011,Problem Çözme
CM_E011,İleri Düzey Stres Yönetimi
CM_E011,Stres Yönetimi Teknikleri
CM_E012,Acil Durum Kodları Bilgisi
CM_E012,Karar Verme Yeteneği
CM_E012,Harita Okuma
CM_E012,Yangın Güvenliği Bilgisi
CM_E012,Çoklu Görev Yönetimi
CM_E012,Detay Odaklılık
CM_E013,Hızlı Klavye Kullanımı
CM_E013,Etkili İletişim
CM_E013,Problem Çözme
CM_E013,Kriz Yönetimi Temel Bilgisi
CM_E014,Acil Durum Kodları Bilgisi
CM_E014,Karar Verme Yeteneği
CM_E014,Harita Okuma
CM_E014,Polis Telsiz Prosedürleri
CM_E014,Polis Kriz Protokolleri
CM_E014,Detay Odaklılık
CM_E014,Çoklu Görev Yönetimi
CM_E015,Hızlı Klavye Kullanımı
CM_E015,Etkili İletişim
CM_E015,Problem Çözme
CM_E015,Coğrafi Bilgi Sistemleri Kullanımı
CM_E015,Kriz Yönetimi Temel Bilgisi
CM_E016,Acil Durum Kodları Bilgisi
CM_E016,Karar Verme Yeteneği
CM_E016,Harita Okuma
CM_E016,Çoklu Görev Yönetimi
CM_E016,Detay Odaklılık
CM_E017,Acil Durum Kodları Bilgisi
CM_E017,Karar Verme Yeteneği
CM_E017,Harita Okuma
CM_E017,Afet Yönetimi Temel Bilgileri
CM_E017,Çoklu Görev Yönetimi
CM_E018,Acil Durum Kodları Bilgisi
CM_E018,Karar Verme Yeteneği
CM_E018,Harita Okuma
CM_E019,Hızlı Klavye Kullanımı
CM_E019,Etkili İletişim
CM_E019,Problem Çözme
CM_E019,Yabancı Dil (İngilizce)
CM_E020,Hızlı Klavye Kullanımı
CM_E020,Etkili İletişim
CM_E020,Problem Çözme
CM_E021,Acil Durum Kodları Bilgisi
CM_E021,Karar Verme Yeteneği
CM_E021,Harita Okuma
CM_E021,Yangın Güvenliği Bilgisi
CM_E022,Hızlı Klavye Kullanımı
CM_E022,Etkili İletişim
CM_E022,Problem Çözme
CM_E023,Acil Durum Kodları Bilgisi
CM_E023,Karar Verme Yeteneği
CM_E023,Harita Okuma
CM_E023,Temel Tıbbi Triyaj Bilgisi
CM_E023,Detay Odaklılık
CM_E023,Çoklu Görev Yönetimi
CM_E024,Sistem Arıza Tespiti
CM_E024,Ağ Temelleri
CM_E024,Yazılım Güncelleme
CM_E025,Hızlı Klavye Kullanımı
CM_E025,Etkili İletişim
CM_E025,Problem Çözme
CM_E025,Yabancı Dil (Almanca)
CM_E025,İleri Düzey Stres Yönetimi
CM_E025,Kriz Yönetimi Temel Bilgisi
CM_E026,Acil Durum Kodları Bilgisi
CM_E026,Karar Verme Yeteneği
CM_E026,Harita Okuma
CM_E027,Hızlı Klavye Kullanımı
CM_E027,Etkili İletişim
CM_E027,Problem Çözme
CM_E028,Hızlı Klavye Kullanımı
CM_E028,Etkili İletişim
CM_E028,Problem Çözme
CM_E028,Coğrafi Bilgi Sistemleri Kullanımı
CM_E028,İleri Düzey Stres Yönetimi
CM_E029,Hızlı Klavye Kullanımı
CM_E029,Etkili İletişim
CM_E029,Problem Çözme
CM_E029,İleri Düzey Stres Yönetimi
CM_E029,Coğrafi Bilgi Sistemleri Kullanımı
CM_E029,Stres Yönetimi Teknikleri
CM_E030,Hızlı Klavye Kullanımı
