employee_id,shift_id,preference_score
CM_E003,CM_S0013,1
CM_E003,CM_S0018,-1
CM_E006,CM_S0104,-1
CM_E006,CM_S0061,1
CM_E012,CM_S0044,-1
CM_E012,CM_S0087,-1
CM_E012,CM_S0090,-1
CM_E014,CM_S0009,1
CM_E014,CM_S0008,1
CM_E017,CM_S0111,1
CM_E017,CM_S0066,-1
CM_E017,CM_S0003,1
CM_E023,CM_S0099,1
CM_E023,CM_S0078,-1
CM_E028,CM_S0089,-1
CM_E028,CM_S0064,1
CM_E043,CM_S0080,-1
CM_E043,CM_S0012,1
CM_E043,CM_S0115,1
CM_E048,CM_S0113,1
CM_E051,CM_S0093,1
CM_E055,CM_S0056,1
CM_E055,CM_S0018,1
CM_E071,CM_S0040,-1
CM_E071,CM_S0086,1
CM_E071,CM_S0119,-1
CM_E075,CM_S0118,1
CM_E075,CM_S0064,-1
CM_E080,CM_S0049,-1
CM_E080,CM_S0096,-1
CM_E080,CM_S0026,1
