employee_id,shift_id,preference_score
E004,S0063,1
E009,S0058,1
E013,S0010,-1
E013,S0069,-1
E013,S0081,1
E015,S0076,-1
E023,S0060,-1
E023,S0009,-1
E023,S0040,1
E027,S0072,-1
E029,S0011,-1
E029,S0037,-1
E029,S0072,-1
E032,S0009,-1
E033,S0024,1
E033,S0036,-1
E033,S0001,1
E035,S0078,1
E038,S0052,-1
E039,S0023,1
E039,S0038,1
E040,S0051,-1
E043,S0063,-1
E043,S0035,1
E045,S0035,1
E047,S0019,1
E047,S0029,1
E049,S0079,-1
E049,S0023,1
E051,S0067,1
E052,S0009,1
E052,S0063,1
E053,S0010,1
E053,S0032,1
E053,S0036,1
E054,S0065,-1
E054,S0012,1
E054,S0054,-1
E055,S0018,-1
E056,S0027,-1
E058,S0036,1
E058,S0033,-1
E059,S0017,1
E060,S0033,-1
E060,S0038,1
E061,S0060,-1
E064,S0026,1
E064,S0011,-1
E069,S0070,1
E069,S0026,1
E069,S0030,1
E071,S0075,1
E071,S0012,-1
E071,S0079,1
E075,S0054,1
E076,S0079,1
E076,S0033,1
E076,S0044,-1
E077,S0041,1
E078,S0015,-1
E079,S0080,1
E079,S0049,-1
E080,S0072,1
E080,S0014,-1
E080,S0061,1
